トルコキキョウ(白),0,相対,19120,40,15410,2205,1465,0,200902
トルコキキョウ(白),0,第三者等,110,110,0,0,0,0,200902
トルコキキョウ(ピ),20843,せり・入札,3908,90,2873,755,150,40,200902
トルコキキョウ(ピ),0,相対,16935,325,12685,2325,1600,0,200902
トルコキキョウ(紫),19658,せり・入札,5498,120,3718,850,690,120,200902
トルコキキョウ(紫),0,相対,14070,60,9800,1650,2230,330,200902
トルコキキョウ(紫),0,第三者等,90,90,0,0,0,0,200902
トルコキキョウ(複),16035,せり・入札,3990,280,2840,870,0,0,200902
トルコキキョウ(複),0,相対,11945,550,9975,1330,0,90,200902
トルコキキョウ(複),0,第三者等,100,100,0,0,0,0,200902
その他トルコキョ,70837,せり・入札,20415,3565,6980,1450,595,7825,200902
その他トルコキョ,0,相対,48107,4745,12862,2170,1265,27065,200902
その他トルコキョ,0,第三者等,2315,2070,245,0,0,0,200902
大輪グラジオラス,31013,せり・入札,9976,1490,3760,1550,1530,1646,200902
大輪グラジオラス,0,相対,20197,1920,12754,950,1570,3003,200902
大輪グラジオラス,0,第三者等,840,740,100,0,0,0,200902
小輪グラジオラス,210,せり・入札,140,0,0,0,0,140,200902
小輪グラジオラス,0,相対,70,0,0,0,0,70,200902
その他グラジオラス,1140,せり・入札,530,0,0,330,200,0,200902
その他グラジオラス,0,相対,610,0,200,50,260,100,200902
カトレア,4037,せり・入札,650,26,414,170,40,0,200902
カトレア,0,相対,3287,769,1371,477,500,170,200902
カトレア,0,第三者等,100,100,0,0,0,0,200902
デンファレ,51940,せり・入札,14940,3090,7320,840,1430,2260,200902
デンファレ,0,相対,36370,2880,26145,3565,1840,1940,200902
デンファレ,0,第三者等,630,630,0,0,0,0,200902
宿根かすみ草,58490,せり・入札,5570,250,2370,300,510,2140,200902
宿根かすみ草,0,相対,51210,3090,35420,4120,2960,5620,200902
宿根かすみ草,0,第三者等,1710,1710,0,0,0,0,200902
ガーベラ,138680,せり・入札,27813,3313,17250,2430,440,4380,200902
ガーベラ,0,相対,108333,5990,68733,8750,12070,12790,200902
ガーベラ,0,第三者等,2534,2034,0,0,500,0,200902
くじゃく草,22315,せり・入札,7315,2170,4195,560,340,50,200902
くじゃく草,0,相対,14590,1850,9330,1540,750,1120,200902
くじゃく草,0,第三者等,410,200,210,0,0,0,200902
けいとう,65368,せり・入札,18507,2230,8337,2145,840,4955,200902
けいとう,0,相対,46116,2765,31676,4670,2740,4265,200902
けいとう,0,第三者等,455,300,0,0,0,155,200902
けいとう,0,商物分離,290,0,290,0,0,0,200902
コスモス,15170,せり・入札,720,20,650,0,0,50,200902
コスモス,0,相対,14000,580,10270,1500,360,1290,200902
コスモス,0,第三者等,450,450,0,0,0,0,200902
りんどう,237495,せり・入札,38940,8490,23120,4770,1310,1250,200902
りんどう,0,相対,195545,15360,132810,16670,15080,15625,200902
りんどう,0,第三者等,3010,2020,900,0,90,0,200902
その他の切花,1165042,せり・入札,264823,26905,142033,28333,23209,44343,200902
その他の切花,0,相対,885277,39960,648836,48087,61634,86760,200902
その他の切花,0,第三者等,14297,12687,790,0,350,470,200902
その他の切花,0,商物分離,645,0,645,0,0,0,200902
そてつ,9370,せり・入札,2720,800,1170,600,150,0,200902
そてつ,0,相対,6190,1150,3630,200,550,660,200902
そてつ,0,第三者等,460,410,0,0,50,0,200902
